chunk,chunk_size,local_tokens,context_len,case,cache,timing,mean_us,median_us,queries_per_second,p05_us,p95_us,l2_flush_bytes,speedup_vs_trtllm
0,32768,4096,32768,flashmla-prefill/native,warm,cuda-event,1049.970874786377,1049.6639609336853,3902201.230531505,1039.9648129940033,1071.3023781776428,0,0.8100116073199538
0,32768,4096,32768,flashmla-decode/native,warm,cuda-event,1508.0156767368317,1506.3679814338684,2719123.1163192512,1502.1744430065155,1514.9535596370697,0,0.5644304729130027
0,32768,4096,32768,trtllm/native,cold,cuda-event,851.1014431715012,854.9599945545197,4790867.439515971,827.7312070131302,872.3215878009796,268435456,1.0
0,32768,4096,32768,flashmla-prefill/native,cold,cuda-event,1054.7667169570923,1053.0400276184082,3889690.6979534817,1049.3103981018066,1064.96000289917,268435456,0.8118969575051451
0,32768,4096,32768,flashmla-decode/native,cold,cuda-event,1518.6208033561707,1508.4159970283508,2715431.292209383,1505.2400171756744,1559.4928562641144,268435456,0.5667932428712175
0,65536,512,65536,trtllm/native,warm,cuda-event,105.93312054872513,105.0880029797554,4872107.0482101925,104.67039979994297,106.9440022110939,0,1.0
0,65536,512,65536,flashmla-prefill/native,warm,cuda-event,125.96927933394909,125.50400197505951,4079551.1851625736,125.04959851503372,127.457594871521,0,0.8373279044969321
0,65536,512,65536,flashmla-decode/native,warm,cuda-event,174.71615940332413,174.5920032262802,2932551.265457569,174.27040040493011,175.07999911904335,0,0.6019061643021298
0,65536,512,65536,trtllm/native,cold,cuda-event,106.77856057882309,106.86400160193443,4791136.325843256,105.12000322341919,108.17599669098854,268435456,1.0
0,65536,512,65536,flashmla-prefill/native,cold,cuda-event,125.45631967484951,125.44000148773193,4081632.6046526213,123.00479784607887,127.39519402384758,268435456,0.8519132679728624
0,65536,512,65536,flashmla-decode/native,cold,cuda-event,175.3577597439289,175.08800327777863,2924243.7540835254,174.52480271458626,176.41599476337433,268435456,0.6103445101969309
0,65536,1024,65536,trtllm/native,warm,cuda-event,203.160320520401,202.94399559497833,5045727.009552077,201.2783981859684,203.2960057258606,0,1.0
0,65536,1024,65536,flashmla-prefill/native,warm,cuda-event,249.2115207016468,248.09600412845612,4127434.472785002,246.71840071678162,248.41760620474815,0,0.8180059018197668
0,65536,1024,65536,flashmla-decode/native,warm,cuda-event,363.0073603987694,362.8160059452057,2822367.2142916694,362.4927893280983,363.6816054582596,0,0.5593578901412303
0,65536,1024,65536,trtllm/native,cold,cuda-event,203.23391929268837,203.0239999294281,5043738.673043316,202.59039998054504,204.79999482631683,268435456,1.0
